endTime,artistName,trackName,msPlayed
2020-07-17 05:08,Blood Orange,Best to You,162748
2020-07-17 05:11,Jon Gomm,Passionflower,177412
2020-07-17 05:12,Parcels,Tieduprightnow,52929
2020-07-17 05:13,The Flaming Lips,Do You Realize??,51200
2020-07-17 05:13,Phantogram,Pedestal,10704
2020-07-17 05:13,Beck,Up All Night,7441
2020-07-17 05:13,Joywave,Half Your Age,10994
2020-07-17 05:14,Phantogram,When I'm Small,21989
2020-07-17 05:14,Judah & the Lion,Over my head,21884
2020-07-17 05:14,Phantogram,Turn It Off,6466
2020-07-17 05:14,Phantogram,All Dried Up,7929
2020-07-17 05:15,Phantogram,When I'm Small,29419
2020-07-17 05:15,Mild Orange,Making Things,5712
2020-07-17 05:15,alt-J,Left Hand Free,3459
2020-07-17 05:15,STRFKR,Budapest (feat. Shy Boys),4887
2020-07-17 05:15,STRFKR,Deep Dream,6025
2020-07-17 05:17,of Montreal,Peace To All Freaks,129114
2020-07-17 05:18,Third Eye Blind,Semi-Charmed Life,50178
2020-07-17 05:18,Edwin McCain,I'll Be,17972
2020-07-17 05:19,Razorlight,In The Morning,18169
2020-07-17 05:19,Huey Lewis & The News,The Power Of Love,20886
2020-07-17 05:20,Wilson Pickett,634-5789,1451
2020-07-17 05:20,Martha Reeves & The Vandellas,(Love Is Like A) Heat Wave,28688
2020-07-17 05:20,Lee Fields & The Expressions,Blessed with the Best,1962
2020-07-17 05:20,Yola,I Don't Wanna Lie,1962
2020-07-17 05:20,Natalie Cole,This Will Be (An Everlasting Love),5259
2020-07-17 05:20,Jonny P,Good To You,3366
2020-07-17 05:20,3 Doors Down,Here Without You,32972
2020-07-17 05:21,Eddy Rock,Alone,2391
2020-07-17 05:21,Kuji,Nothing,6548
2020-07-17 05:21,BLK,Got It,4469
2020-07-17 05:21,SONA BLUE,GOLD,1880
2020-07-17 05:21,Astral Weeks,Summertime,5491
2020-07-17 05:21,Qhairo,Blue Petals,15394
2020-07-17 05:21,Besos,Used 2 Be,18587
2020-07-17 05:21,Gemaine,What's Goin' On?,2066
2020-07-17 05:22,MLXVE,Set My Thoughts Free,30348
2020-07-17 05:23,María Isabel,Where Does the Love Go?,42875
2020-07-17 05:28,The Shins,Australia,153820
2020-07-17 05:29,Grimes,Crystal Ball,62647
2020-07-17 05:30,Parcels,Tieduprightnow,29071
2020-07-17 05:32,Arcade Fire,Wake Up,4446
2020-07-17 05:32,Foals,Bad Habit,18819
2020-07-17 05:32,Arcade Fire,The Suburbs,32693
2020-07-17 05:33,The Flaming Lips,She Don't Use Jelly,44953
2020-07-17 05:33,The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1",10344
2020-07-17 05:34,Car Seat Headrest,Drunk Drivers/Killer Whales,21617
2020-07-17 05:34,Neutral Milk Hotel,In the Aeroplane Over the Sea,23858
2020-07-17 05:34,Have A Nice Life,I Don't Love,3819
2020-07-17 05:34,Have A Nice Life,Bloodhail,5654
2020-07-17 05:35,LSD and the Search for God,Starting Over,37767
2020-07-17 05:35,Have A Nice Life,The Big Gloom,22314
2020-07-17 05:36,Astrobrite,Radiofriendly,58258
2020-07-17 05:37,Parcels,Tieduprightnow,6118
2020-07-17 05:37,Clairo,Flaming Hot Cheetos,52186
2020-07-17 05:37,Jungle,Casio,3262
2020-07-17 05:39,Local Natives,Coins,3332
2020-07-17 05:39,JAWNY,Honeypie,107775
2020-07-17 05:39,The New Pornographers,Myriad Harbour,6652
2020-07-17 05:39,Hippo Campus,Way It Goes,3796
2020-07-17 05:39,Rogue Wave,Eyes,1369
2020-07-17 05:39,Buck Meek,Maybe,8103
2020-07-17 05:39,Freedom Fry,The Summer,1242
2020-07-17 05:40,Temples,Shelter Song,39195
2020-07-17 05:40,The New Pornographers,One Kind Of Solomon,3123
2020-07-17 05:40,The New Pornographers,Mass Romantic,7906
2020-07-17 05:40,The New Pornographers,The Bleeding Heart Show,6559
2020-07-17 05:41,Jagwar Ma,Another Dub In The Sun (Live from Dark Mofo),1311
2020-07-17 05:41,Jagwar Ma,Another Dub In The Sun,7662
2020-07-17 05:41,Jagwar Ma,Uncertainty,19063
2020-07-17 05:41,Post Animal,Goggles,5445
2020-07-17 05:41,Post Animal,When I Get Home,5027
2020-07-17 05:41,Jagwar Ma,O B 1,1021
2020-07-17 05:41,Post Animal,Ralphie,9485
2020-07-17 05:41,Jagwar Ma,Come Save Me,5537
2020-07-17 05:42,levitation room,Warmth of the Sun,25449
2020-07-17 05:42,Pond,Daisy,8649
2020-07-17 05:42,Pond,Paint Me Silver,1311
2020-07-17 05:42,levitation room,Friends,11784
2020-07-17 05:42,Pond,Sweep Me Off My Feet,1486
2020-07-17 05:42,Pond,Waiting Around For Grace,1718
2020-07-17 05:42,Post Animal,How Do You Feel,10669
2020-07-17 05:43,Moses Gunn Collective,Shalala,4620
2020-07-17 05:43,Mystic Braves,Bright Blue Day Haze,1776
2020-07-17 05:43,Moses Gunn Collective,Strawberry,18018
2020-07-17 05:43,Moses Gunn Collective,Hole in the Wall,1323
2020-07-17 05:43,Django Django,Life's A Beach,2983
2020-07-17 05:43,Django Django,Default,4539
2020-07-17 05:43,Django Django,First Light,10507
2020-07-17 05:43,Moses Gunn Collective,Dream Girls,3924
2020-07-17 05:43,Django Django,Found You,4806
2020-07-17 05:43,Mystic Braves,Trippin' Like I Do,2240
2020-07-17 05:43,Django Django,Hail Bop,3982
2020-07-17 05:44,Mystic Braves,Mystic Rabbit,5201
2020-07-17 05:45,Mystic Braves,Desert Island,107276
2020-07-17 05:46,Benny Sings,Passionfruit,26969
2020-07-17 05:46,Low Hum,Comatose,18715
2020-07-17 05:47,Bad Suns,Violet,1602
2020-07-17 05:47,Bad Suns,Cardiac Arrest,32914
2020-07-17 05:47,Bad Suns,Learn to Trust,5166
2020-07-17 05:47,Bad Suns,Sleep Paralysis,11017
2020-07-17 05:47,Bad Suns,Daft Pretty Boys,0
2020-07-17 05:47,Bad Suns,Daft Pretty Boys,2426
2020-07-17 05:47,Bad Suns,Transpose,11644
2020-07-17 05:48,JAWNY,Honeypie,56830
2020-07-17 05:48,Bad Suns,Maybe We're Meant To Be Alone,14338
2020-07-17 05:49,Coast Modern,Comb My Hair,534
2020-07-17 05:49,Coast Modern,Guru,5178
2020-07-17 05:49,Coast Modern,Animals,5909
2020-07-17 05:49,Coast Modern,Groovy,4156
2020-07-17 05:49,Coast Modern,Hollow Life,3262
2020-07-17 05:51,Coast Modern,Honeybee,15894
2020-07-17 05:51,JAWNY,Honeypie,5294
2020-07-17 05:51,JAWNY,Honeypie,998
2020-07-17 05:51,Parcels,Tieduprightnow,1718
2020-07-17 05:51,Jungle,Casio,1915
2020-07-17 05:51,Mark Ronson,Daffodils (feat. Kevin Parker),1520
2020-07-17 05:51,of Montreal,Gronlandic Edit,1230
2020-07-17 05:52,levitation room,Warmth of the Sun,7813
2020-07-17 05:52,Grimes,Realiti,12318
2020-07-17 05:53,LSD and the Search for God,Starting Over,33471
2020-07-17 05:53,The Shins,Caring Is Creepy,3506
2020-07-17 05:53,Sir Sly,High,59570
2020-07-17 05:54,Blood Orange,Best to You,5746
2020-07-17 05:54,JAWNY,Honeypie,3645
2020-07-17 05:54,Benny Sings,Passionfruit,23800
2020-07-17 05:55,Jon Gomm,Passionflower,44187
2020-07-17 05:55,Temples,Certainty,4655
2020-07-17 05:55,Last Dinosaurs,Zoom,18448
2020-07-17 05:57,Temples,Certainty,129079
2020-07-17 06:00,of Montreal,Gronlandic Edit,182056
2020-07-17 06:02,JAWNY,Honeypie,92577
2020-07-17 06:03,JAWNY,Honeypie,102608
2020-07-17 06:03,Circa Survive,The Difference Between Medicine And Poison Is In The Dose,2821
2020-07-17 06:03,Circa Survive,Get Out,2136
2020-07-17 06:03,Circa Survive,Lustration,1021
2020-07-17 06:05,Circa Survive,Act Appalled,73119
2020-07-17 06:07,Dead Letter Circus,One Step,144184
2020-07-17 06:08,Dead Letter Circus,Cage,63657
2020-07-17 06:09,The Mars Volta,Televators,9508
2020-07-17 06:09,Circa Survive,Living Together,51397
2020-07-17 06:11,The Mars Volta,The Widow,52628
2020-07-17 06:12,Animals As Leaders,Soraya,15278
2020-07-17 06:12,Animals As Leaders,Behaving Badly,10205
2020-07-17 06:12,Circa Survive,Act Appalled,66083
2020-07-17 06:13,Monuments,A.W.O.L,18134
2020-07-17 06:13,Mew,Comforting Sounds,2333
2020-07-17 06:13,Mew,Am I Wry? No,32682
2020-07-17 06:13,Animals As Leaders,Tempting Time,26679
2020-07-17 06:16,The Floor Is Made Of Lava,Lost in the Woods,4202
2020-07-17 06:16,Mew,Introducing Palace Players,147377
2020-07-17 06:16,The Raveonettes,Recharge & Revolt,14303
2020-07-17 06:16,The Raveonettes,I Wanna Be Adored,5398
2020-07-17 06:16,The Floor Is Made Of Lava,All Outta Love - Remastered,2414
2020-07-17 06:16,The Raveonettes,Love In a Trashcan,2600
2020-07-17 06:17,The Floor Is Made Of Lava,Do Your Sister,42016
2020-07-17 06:17,Blaue Blume,Macabre,5224
2020-07-17 06:17,Blaue Blume,Sky,6455
2020-07-17 06:17,Blaue Blume,Lovable - Trentemøller Remix,3134
2020-07-17 06:18,Moi Caprice,Astropastoral,10298
2020-07-17 06:18,Tim Christensen,Love Is a Matter Of...,8335
2020-07-17 06:18,Tim Christensen,Right Next to the Right One,5445
2020-07-17 06:18,Moi Caprice,To The Lighthouse,8277
2020-07-17 06:19,Dizzy Mizz Lizzy,Silverflame - 2010 Digital Remaster,46161
2020-07-17 06:19,Mew,Comforting Sounds,5746
2020-07-17 06:19,Mew,Special,1033
2020-07-17 06:21,Mew,Special,108959
2020-07-17 06:24,Mew,Am I Wry? No,216630
2020-07-17 06:25,levitation room,Warmth of the Sun,43235
2020-07-17 06:29,Voices From The Fuselage,T.E.E.S.O.E.,6234
2020-07-17 06:29,George Harrison,What Is Life - Remastered 2014,52035
2020-07-17 06:30,Voices From The Fuselage,Via,1602
2020-07-17 06:30,Voices From The Fuselage,T.E.E.S.O.E.,16846
2020-07-17 06:30,Voices From The Fuselage,The Wreckage,26505
2020-07-17 06:30,Voices From The Fuselage,The Wreckage,12236
2020-07-17 06:30,Voices From The Fuselage,Inner Child,13363
2020-07-17 06:30,Voices From The Fuselage,Ortus,5166
2020-07-17 06:31,Voices From The Fuselage,Via,13560
